id	CD1036	CD1037	CD1038	CD1086	FV040	FV041	FVB039	FVB085	symbol
1	ENSMUSG00000000001	0	0	16.5625366044737	54.5766636325034	0.19778137707164	569.159298901703	0.200470767871432	18.7992998298787	GNAI3
2	ENSMUSG00000000003	0	0	0	0	0	0	0	0	PBSN
3	ENSMUSG00000000028	0	0	0	0	0	0	0	0	CDC45
4	ENSMUSG00000000031	0	0	0	0	0	0	0	0	H19
5	ENSMUSG00000000037	0	0	0	0	0	0	0	0	SCML2
6	ENSMUSG00000000049	0	0	0	0	0	0	0	0	APOH
7	ENSMUSG00000000056	111.414116411571	238.726613884908	101.471743247662	0	0.19778137707164	306.787544386595	1.60376614297146	0	NARF
8	ENSMUSG00000000058	0	0	0	0	0	0	0	0	CAV2
9	ENSMUSG00000000078	458.413807220126	0.708387578293495	20.3362791219488	0	0.395562754143279	579.466760686225	0.400941535742864	4.2298424617227	KLF6
10	ENSMUSG00000000085	289.16640900713	0	46.1235196580281	22.5653513095928	0.593344131214919	65.0307134405304	0	0	SCMH1
11	ENSMUSG00000000088	1008.39697729251	227.746606421359	259.968928981613	135.916883469408	182.947773791267	273.616258280042	203.878770925246	97.7563591153691	COX5A
12	ENSMUSG00000000093	0	7.08387578293495	33.3347255710294	0	4.54897167264771	0	0	0.469982495746967	TBX2
13	ENSMUSG00000000094	0	0	0	0	0	0	0	0	TBX4
14	ENSMUSG00000000103	0	0	0	0	0	0	0	0	ZFY2
15	ENSMUSG00000000120	0	0	2.93513306914725	0	14.4380405262297	0	0	0	NGFR
16	ENSMUSG00000000125	0	0	0	0	0	0	0	0	WNT3
17	ENSMUSG00000000126	0	0	0.628957086245838	0	0	0	0	0	WNT9A
18	ENSMUSG00000000127	0	0	7.75713739703201	0	79.9036763369424	0	0	0	FER
19	ENSMUSG00000000131	0	0	14.2563606215723	0	233.97536907575	25.8623586593464	0	0	XPO6
20	ENSMUSG00000000134	0	0	261.436495516187	61.3987465865664	8.30681783700887	0.18740839608222	0	0.469982495746967	TFE3
21	ENSMUSG00000000142	0	4.25032546976097	0	0	0	0	0	0	AXIN2
22	ENSMUSG00000000148	0	0	0	1.04955122370199	0	0	0.400941535742864	0	BRAT1
23	ENSMUSG00000000149	4.81944015011883	0.354193789146747	74.8458932632548	10.4955122370199	0	0.18740839608222	6.01412303614296	0	GNA12
24	ENSMUSG00000000154	0	0	0	0	0	0	0	0	SLC22A18
25	ENSMUSG00000000157	0	0	0	0	0	0	0	0	ITGB2L
26	ENSMUSG00000000159	0	0	0	0	0	0	0	0	IGSF5
27	ENSMUSG00000000167	0	0	0	0	0	0	0	0	PIH1D2
28	ENSMUSG00000000168	0	0	88.6829491606632	131.7186785746	188.683433726344	0	1.40329537510002	0.469982495746967	DLAT
29	ENSMUSG00000000171	0.850489438256264	2.83355031317398	0	0.524775611850995	0	0	0.200470767871432	0	SDHD
